Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,BsmtFlag,WoodDeckFlag,PoolFlag,BsmtFinPerc,SalePrice
20,5,3,70.0,7560,1,1,3,3,4,0,12,2,2,0,2,5,6,1965,3,1,3,10,2,0.0,3.0,3.0,1,3.0,3.0,1.0,2.0,1.0,1029.0,1,3.0,1,4,0,1339,0.0,0.0,1,0,3,1,3.0,6,6.0,0,0.0,1,1.0,1.0,3.0,2.0,0,0,0,0,0,2,1,0,0,0,1.0,0,0,0.4897959183673469,11.842229212112828
21,10,3,101.0,14215,1,1,0,3,0,0,16,2,2,0,5,8,5,2006,1,1,12,13,1,380.0,4.0,3.0,2,5.0,3.0,3.0,1.0,1.0,1158.0,1,5.0,1,4,0,2376,0.0,0.0,3,1,4,1,4.0,9,7.0,1,4.0,3,2.0,3.0,3.0,2.0,240,154,0,0,0,4,1,0,6,5,1.0,1,0,0.0,12.692503112461443
22,8,4,57.0,7449,1,0,3,0,4,0,9,2,2,0,1,7,7,1950,1,1,13,14,2,0.0,3.0,3.0,2,3.0,3.0,1.0,1.0,1.0,637.0,1,5.0,1,1,0,1108,0.0,0.0,1,0,3,1,4.0,6,7.0,1,4.0,1,1.0,1.0,3.0,0.0,0,0,205,0,0,0,1,0,8,4,1.0,0,0,0.0,11.845102777308561
23,5,3,75.0,9742,1,1,3,3,4,0,5,2,2,0,2,8,5,2002,3,1,12,13,1,281.0,4.0,3.0,2,4.0,3.0,1.0,1.0,1.0,1777.0,1,5.0,1,4,0,1795,0.0,0.0,2,0,3,1,4.0,7,7.0,1,4.0,1,2.0,2.0,3.0,2.0,171,159,0,0,0,4,1,0,8,4,1.0,1,0,0.0,12.345834587905333
24,0,4,44.0,4224,1,1,3,3,4,0,10,2,2,4,2,5,7,1976,1,1,5,5,2,0.0,3.0,3.0,2,4.0,3.0,1.0,6.0,1.0,1040.0,1,3.0,1,4,0,1060,1.0,0.0,1,0,3,1,3.0,6,7.0,1,3.0,1,1.0,2.0,3.0,2.0,100,110,0,0,0,4,1,0,8,4,1.0,1,0,0.8076923076923077,11.77452020265869
25,5,3,74.0,8246,1,1,0,3,4,0,19,2,2,0,2,5,8,2001,1,1,9,10,2,0.0,3.0,4.0,1,3.0,3.0,2.0,3.0,5.0,1060.0,1,5.0,1,4,0,1060,1.0,0.0,1,0,3,1,4.0,6,7.0,1,3.0,1,1.0,1.0,3.0,2.0,406,90,0,0,0,2,1,0,8,4,1.0,1,0,0.8075471698113208,11.944707881395766
26,5,3,110.0,14230,1,1,3,3,0,0,16,2,2,0,2,8,5,2007,1,1,12,13,3,640.0,4.0,3.0,2,4.0,3.0,1.0,1.0,1.0,1566.0,1,5.0,1,4,0,1600,0.0,0.0,2,0,3,1,4.0,7,7.0,1,4.0,1,2.0,3.0,3.0,2.0,0,56,0,0,0,4,1,0,8,4,1.0,0,0,0.0,12.454103912352162
27,5,3,60.0,7200,1,1,3,3,0,0,12,2,2,0,2,5,7,2000,1,1,13,14,2,0.0,3.0,3.0,1,3.0,3.0,2.0,4.0,3.0,900.0,1,3.0,1,4,0,900,0.0,1.0,1,0,3,1,4.0,5,7.0,0,0.0,5,1.0,2.0,3.0,2.0,222,32,0,0,0,4,1,0,8,4,1.0,1,0,0.8,11.811547477460344
28,5,3,98.0,11478,1,1,3,3,4,0,16,2,2,0,2,8,5,2008,1,1,12,13,3,200.0,4.0,3.0,2,5.0,3.0,1.0,6.0,1.0,1704.0,1,5.0,1,4,0,1704,1.0,0.0,2,0,3,1,4.0,7,7.0,1,4.0,1,2.0,3.0,3.0,2.0,0,50,0,0,0,4,1,0,8,4,1.0,0,0,0.7147887323943662,12.631340380934517
29,5,3,47.0,16321,1,1,0,3,1,0,12,2,2,0,2,5,6,1997,1,1,8,8,2,0.0,3.0,3.0,1,3.0,3.0,4.0,4.0,1.0,1484.0,1,3.0,1,4,0,1600,1.0,0.0,1,0,2,1,3.0,6,7.0,2,4.0,1,2.0,1.0,3.0,2.0,288,258,0,0,0,4,1,0,8,4,1.0,1,0,0.860512129380054,12.24288661865289
30,6,4,60.0,6324,1,1,0,3,4,0,3,1,7,0,2,4,6,1950,1,1,8,8,2,0.0,3.0,3.0,0,3.0,3.0,1.0,1.0,1.0,520.0,1,2.0,0,4,0,520,0.0,0.0,1,0,1,1,2.0,4,7.0,0,0.0,5,1.0,1.0,2.0,2.0,49,0,87,0,0,4,1,0,8,4,1.0,1,0,0.0,11.134589024250317
31,11,0,50.0,8500,1,2,3,3,4,0,9,1,2,0,5,4,4,1950,2,1,3,3,2,0.0,3.0,2.0,0,3.0,3.0,1.0,1.0,1.0,649.0,1,3.0,0,4,0,1317,0.0,0.0,1,0,3,1,3.0,6,7.0,0,0.0,5,1.0,1.0,3.0,0.0,0,54,172,0,0,2,1,0,8,4,1.0,0,0,0.0,10.596634733096073
32,5,3,74.0,8544,1,1,0,3,1,0,19,2,2,0,2,5,6,2006,1,1,6,6,2,0.0,3.0,3.0,1,3.0,3.0,1.0,1.0,1.0,1228.0,1,4.0,1,4,0,1228,0.0,0.0,1,1,3,1,4.0,6,7.0,0,0.0,1,1.0,1.0,3.0,2.0,0,65,0,0,0,2,1,0,8,4,1.0,0,0,0.0,11.914047823644255
33,5,3,85.0,11049,1,1,3,3,0,0,5,2,2,0,2,8,5,2007,1,1,12,13,2,0.0,4.0,3.0,2,5.0,3.0,3.0,1.0,1.0,1234.0,1,5.0,1,4,0,1234,0.0,0.0,2,0,3,1,4.0,7,7.0,0,0.0,1,2.0,2.0,3.0,2.0,0,30,0,0,0,4,1,0,8,4,1.0,0,0,0.0,12.100156419938624
34,5,3,70.0,10552,1,1,0,3,4,0,12,2,2,0,2,5,5,1959,3,1,3,3,2,0.0,3.0,3.0,1,3.0,3.0,1.0,3.0,1.0,1398.0,1,4.0,1,4,0,1700,0.0,1.0,1,1,4,1,4.0,6,7.0,1,4.0,1,2.0,2.0,3.0,2.0,0,38,0,0,0,4,1,0,8,4,1.0,0,0,0.7281831187410587,12.016726473799254
35,0,3,60.0,7313,1,1,3,3,4,0,16,2,2,4,2,9,5,2005,3,1,8,8,1,246.0,5.0,3.0,2,5.0,3.0,1.0,6.0,1.0,1561.0,1,5.0,1,4,0,1561,1.0,0.0,2,0,2,1,5.0,6,7.0,1,4.0,1,3.0,2.0,3.0,2.0,203,47,0,0,0,4,1,0,8,4,1.0,1,0,0.7386290839205637,12.533576212168626
36,10,3,108.0,13418,1,1,3,3,4,0,16,2,2,0,5,8,5,2005,1,1,12,13,3,132.0,4.0,3.0,2,5.0,3.0,3.0,1.0,1.0,1117.0,1,5.0,1,4,0,2452,0.0,0.0,3,1,4,1,4.0,9,7.0,1,4.0,3,3.0,3.0,3.0,2.0,113,32,0,0,0,4,1,0,8,4,1.0,1,0,0.0,12.641096555879882
37,5,3,112.0,10859,1,1,3,3,0,0,5,2,2,0,2,5,5,1995,1,1,12,13,2,0.0,3.0,3.0,2,4.0,3.0,1.0,1.0,1.0,1097.0,1,5.0,1,4,0,1097,0.0,0.0,1,1,3,1,3.0,6,7.0,0,0.0,1,1.0,2.0,3.0,2.0,392,64,0,0,0,4,1,0,8,4,1.0,1,0,0.0,11.884489021402711
38,5,3,74.0,8532,1,1,3,3,4,0,12,2,2,0,2,5,6,1990,3,1,13,14,1,650.0,3.0,3.0,1,3.0,3.0,1.0,3.0,1.0,1297.0,1,4.0,1,4,0,1297,0.0,1.0,1,0,3,1,3.0,5,7.0,1,3.0,1,3.0,2.0,3.0,2.0,0,0,0,0,0,4,1,0,8,4,1.0,0,0,0.9352351580570547,11.938193200374572
39,5,3,68.0,7922,1,1,3,3,4,0,12,2,2,0,2,5,7,2007,1,1,12,13,2,0.0,3.0,4.0,1,3.0,3.0,1.0,6.0,1.0,1057.0,1,3.0,1,4,0,1057,1.0,0.0,1,0,3,1,4.0,5,7.0,0,0.0,5,1.0,1.0,3.0,2.0,0,52,0,0,0,4,1,0,8,0,1.0,0,0,0.6915799432355724,11.59910316121128
40,15,3,65.0,6040,1,1,3,3,4,0,7,2,2,2,2,4,5,1955,1,1,0,10,2,0.0,3.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0,2,0,1152,0.0,0.0,2,0,2,2,2.0,6,7.0,0,0.0,6,0.0,0.0,0.0,0.0,0,0,0,0,0,4,1,0,8,1,0.0,0,0,0.0,11.314474526246391
41,5,3,84.0,8658,1,1,3,3,4,0,12,2,2,0,2,6,5,1965,1,1,13,14,1,101.0,3.0,3.0,1,3.0,3.0,1.0,3.0,1.0,1088.0,1,5.0,1,4,0,1324,0.0,0.0,2,0,3,1,3.0,6,7.0,1,3.0,1,2.0,2.0,3.0,2.0,0,138,0,0,0,1,1,0,8,0,1.0,0,0,0.5909926470588235,11.982929094215963
42,5,3,115.0,16905,1,1,3,3,4,0,23,2,2,0,2,5,6,1959,1,1,12,13,2,0.0,3.0,4.0,1,3.0,3.0,4.0,4.0,1.0,1350.0,1,4.0,1,4,0,1328,0.0,1.0,1,1,2,1,3.0,5,7.0,2,4.0,1,2.0,1.0,3.0,1.0,0,104,0,0,0,4,1,0,8,4,1.0,0,0,0.7162962962962963,12.043553716032399
43,14,3,74.0,9180,1,1,0,3,1,0,20,2,2,0,6,5,7,1983,1,1,6,6,2,0.0,3.0,3.0,1,4.0,3.0,3.0,5.0,2.0,840.0,1,4.0,1,4,0,884,1.0,0.0,1,0,2,1,4.0,5,7.0,0,0.0,1,2.0,2.0,3.0,2.0,240,0,0,0,0,2,1,0,8,4,1.0,1,0,1.0,11.877568578558138
44,5,3,74.0,9200,1,1,0,3,1,0,5,2,2,0,2,5,6,1980,3,1,12,13,2,0.0,3.0,3.0,1,4.0,3.0,3.0,2.0,4.0,938.0,1,3.0,1,4,0,938,1.0,0.0,1,0,3,1,3.0,5,7.0,0,0.0,5,1.0,1.0,3.0,2.0,145,0,0,0,0,2,1,0,8,4,1.0,1,0,0.8219616204690832,11.777210959615614
45,5,3,70.0,7945,1,1,3,3,4,0,12,2,2,0,2,5,6,1959,1,1,3,14,2,0.0,3.0,3.0,1,3.0,3.0,1.0,5.0,4.0,1150.0,1,5.0,1,0,0,1150,1.0,0.0,1,0,3,1,3.0,6,7.0,0,0.0,1,2.0,1.0,3.0,2.0,0,0,0,0,0,4,1,0,8,4,1.0,0,0,0.5956521739130435,11.856515169360305
46,0,3,61.0,7658,1,1,3,3,4,0,16,2,2,4,2,9,5,2005,3,1,8,8,1,412.0,5.0,3.0,2,5.0,3.0,1.0,6.0,1.0,1752.0,1,5.0,1,4,0,1752,1.0,0.0,2,0,2,1,5.0,6,7.0,1,4.0,1,2.0,2.0,3.0,2.0,196,82,0,0,0,4,1,0,8,4,1.0,1,0,0.2602739726027397,12.675763725937609
47,9,3,48.0,12822,1,1,0,3,1,0,11,2,2,0,0,7,5,2003,1,1,12,13,2,0.0,4.0,3.0,2,5.0,3.0,1.0,6.0,1.0,1434.0,1,5.0,1,4,0,2149,1.0,0.0,1,1,1,1,4.0,6,7.0,1,5.0,1,2.0,2.0,3.0,2.0,168,43,0,0,198,4,1,0,8,0,1.0,1,0,0.9421199442119944,12.387085012375499
48,5,1,84.0,11096,1,1,3,3,4,0,21,2,2,0,2,8,5,2006,1,1,12,13,2,0.0,4.0,3.0,2,4.0,3.0,3.0,6.0,1.0,1656.0,1,5.0,1,4,0,1656,0.0,0.0,2,0,3,1,4.0,7,7.0,0,0.0,1,2.0,3.0,3.0,2.0,0,146,0,0,0,4,1,0,8,4,1.0,0,0,0.014492753623188406,12.428015476267865
49,4,4,33.0,4456,1,1,3,3,4,0,17,2,2,1,5,4,5,2008,1,1,8,8,2,0.0,3.0,3.0,0,3.0,3.0,1.0,1.0,1.0,736.0,1,4.0,1,4,0,1452,0.0,0.0,2,0,2,3,3.0,8,7.0,0,0.0,6,0.0,0.0,0.0,0.0,0,0,102,0,0,4,1,0,6,5,1.0,0,0,0.0,11.635143097694478
50,5,3,66.0,7742,1,1,3,3,4,0,19,2,2,0,2,5,7,1966,1,1,6,6,2,0.0,3.0,3.0,1,3.0,3.0,1.0,4.0,1.0,955.0,1,5.0,1,4,0,955,1.0,0.0,1,0,3,1,3.0,6,7.0,0,0.0,1,1.0,1.0,3.0,2.0,0,0,0,0,0,2,1,0,8,4,1.0,0,0,0.7989528795811518,11.751942365440728
51,10,3,74.0,13869,1,1,1,3,0,0,8,2,2,0,5,6,6,1997,1,1,12,13,2,0.0,3.0,3.0,2,4.0,3.0,3.0,6.0,1.0,794.0,1,4.0,1,4,0,1470,0.0,1.0,2,0,3,1,3.0,6,7.0,0,0.0,1,3.0,2.0,3.0,2.0,0,75,0,0,0,4,1,0,8,4,1.0,0,0,0.22921914357682618,12.083905011555967
52,9,4,52.0,6240,1,1,3,3,4,0,3,2,2,0,0,6,6,1950,1,1,13,14,2,0.0,3.0,3.0,2,3.0,3.0,1.0,1.0,1.0,816.0,1,3.0,1,4,360,1176,0.0,0.0,1,0,3,1,3.0,6,7.0,1,4.0,5,1.0,2.0,3.0,2.0,112,0,0,0,0,2,3,400,8,4,1.0,1,0,0.0,11.644830535850167
53,15,4,110.0,8472,0,1,1,0,0,1,9,8,2,2,2,5,5,1963,1,1,13,14,2,0.0,2.0,3.0,1,4.0,3.0,4.0,2.0,6.0,816.0,1,3.0,0,4,0,816,1.0,0.0,1,0,2,1,3.0,5,7.0,0,0.0,4,1.0,2.0,3.0,2.0,106,0,0,0,0,4,1,0,8,4,1.0,1,0,1.0,11.608235644774552
54,5,3,68.0,50271,1,1,0,2,4,0,24,2,2,0,2,9,5,1987,1,7,14,15,2,0.0,4.0,3.0,1,5.0,3.0,4.0,6.0,1.0,1842.0,1,4.0,1,4,0,1842,2.0,0.0,0,1,0,1,4.0,5,7.0,1,4.0,1,3.0,3.0,3.0,2.0,857,72,0,0,0,4,1,0,8,4,1.0,1,0,0.9826275787187839,12.86099861326992
55,13,3,60.0,7134,1,1,3,0,4,1,12,2,2,0,7,5,5,1955,1,1,8,8,2,0.0,3.0,3.0,1,3.0,3.0,1.0,5.0,1.0,384.0,1,3.0,1,4,0,1360,0.0,0.0,1,0,3,1,3.0,6,6.0,1,3.0,5,1.0,2.0,3.0,2.0,0,50,0,0,0,2,1,0,8,4,1.0,0,0,1.0,11.77528972943772
56,5,3,100.0,10175,1,1,0,3,4,0,12,2,2,0,2,6,5,1964,1,1,6,10,1,272.0,3.0,3.0,1,3.0,3.0,1.0,4.0,1.0,1425.0,1,4.0,1,4,0,1425,0.0,0.0,2,0,3,1,3.0,7,7.0,1,4.0,1,2.0,2.0,3.0,2.0,0,0,0,407,0,4,1,0,8,4,1.0,0,0,0.34385964912280703,12.103486056755072
57,2,1,24.0,2645,1,2,3,3,4,0,21,2,2,3,5,8,5,2000,1,1,8,8,1,456.0,4.0,3.0,2,4.0,3.0,1.0,6.0,1.0,970.0,1,5.0,1,4,0,1739,1.0,0.0,2,1,3,1,4.0,7,7.0,0,0.0,1,3.0,2.0,3.0,2.0,115,0,0,0,0,4,1,0,8,0,1.0,1,0,0.6690721649484536,12.058152515453552
58,10,3,89.0,11645,1,1,0,3,0,0,5,2,2,0,5,7,5,2004,1,1,12,13,2,0.0,4.0,3.0,2,4.0,3.0,1.0,1.0,1.0,860.0,1,5.0,1,4,0,1720,0.0,0.0,2,1,3,1,4.0,7,7.0,0,0.0,1,2.0,2.0,3.0,2.0,0,70,0,0,0,4,1,0,8,4,1.0,0,0,0.0,12.188417710291453
59,10,3,66.0,13682,1,1,1,1,1,0,22,2,2,0,5,10,5,2006,3,1,12,13,1,1031.0,5.0,3.0,2,5.0,3.0,4.0,1.0,1.0,1410.0,1,5.0,1,4,0,2945,0.0,0.0,3,1,3,1,4.0,10,7.0,1,4.0,3,3.0,3.0,3.0,2.0,192,0,37,0,0,4,1,0,6,5,1.0,1,0,0.0,12.991753427493052
60,5,3,60.0,7200,1,1,3,0,4,0,5,2,2,0,2,5,7,1972,1,1,6,6,2,0.0,3.0,3.0,1,3.0,3.0,3.0,5.0,1.0,780.0,1,5.0,1,4,0,780,0.0,0.0,1,0,2,1,3.0,4,7.0,0,0.0,5,1.0,1.0,3.0,2.0,196,0,0,0,0,2,1,0,8,4,1.0,1,0,0.8102564102564103,11.73526869611367
61,5,3,63.0,13072,1,1,3,3,4,0,20,5,2,0,2,6,5,2004,1,1,12,13,2,0.0,3.0,3.0,2,4.0,3.0,1.0,5.0,1.0,1158.0,1,5.0,1,4,0,1158,1.0,0.0,1,1,3,1,4.0,5,7.0,0,0.0,5,1.0,2.0,3.0,2.0,0,50,0,0,0,4,1,0,6,5,1.0,0,0,0.812607944732297,11.970350312009105
62,12,4,60.0,7200,1,1,3,3,4,0,9,2,2,0,4,5,7,1996,1,1,8,8,2,0.0,3.0,3.0,0,3.0,2.0,1.0,1.0,1.0,530.0,1,3.0,0,4,0,1111,0.0,0.0,1,0,3,1,2.0,6,7.0,0,0.0,5,1.0,1.0,3.0,0.0,0,0,144,0,0,4,1,0,8,4,1.0,0,0,0.0,11.522875795823397
63,0,3,44.0,6442,1,1,0,3,4,0,16,2,2,4,2,8,5,2006,1,1,12,13,3,178.0,4.0,3.0,2,4.0,4.0,2.0,6.0,1.0,1370.0,1,5.0,1,4,0,1370,0.0,0.0,2,0,2,1,4.0,6,7.0,1,4.0,1,2.0,2.0,3.0,2.0,120,49,0,0,0,4,1,0,8,4,1.0,1,0,0.017518248175182483,12.218495165528731
64,11,4,50.0,10300,1,1,0,0,4,0,17,6,1,0,5,7,6,1950,1,1,11,12,2,0.0,3.0,3.0,0,3.0,3.0,1.0,1.0,1.0,576.0,1,4.0,1,4,0,1710,0.0,0.0,2,0,3,1,3.0,9,7.0,0,0.0,5,1.0,2.0,3.0,2.0,12,11,64,0,0,0,1,0,8,4,1.0,1,0,0.0,11.84939770159144
65,10,3,74.0,9375,1,1,3,3,4,0,5,2,2,0,5,7,5,1998,1,1,12,13,1,573.0,3.0,3.0,2,4.0,3.0,1.0,6.0,1.0,1057.0,1,5.0,1,4,0,2034,1.0,0.0,2,1,3,1,4.0,8,7.0,0,0.0,1,2.0,2.0,3.0,2.0,576,36,0,0,0,0,1,0,8,4,1.0,1,0,0.6991485335856197,12.299107511497363
